UF,Code,State,Year,stategdp,population,health_insurance,hospitalbeds,icu,population65,doctors,gdp_pc,IMLEE,LSS,first_restriction,first_stringency_index,week_first_restriction,deaths_week13,cases_week13,first_death,first_1kcases,first_10cases_pc,first_100cases_pc,first_1death_pc,first_10death_pc,si2020,si2021,votes_left,votes_right,votes_null,share_votes_right,deaths2020,deaths2021,cases2020,cases2021,cases_pc2020,cases_pc2021,deaths_pc2020,deaths_pc2021
RJ,33,RIO DE JANEIRO,2003,337420052.882729,14879118.0,,,,,,22677.423008724643,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2004,372741605.975092,15203750.0,,,,,,24516.42561704132,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2005,388130919.632976,15383407.0,,,,,,25230.491505098707,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2006,403797245.777992,15561720.0,,,,,,25948.111505540004,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2007,409695072.647852,,,,,,,,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2008,440146349.081186,15872362.0,,,,,,27730.362316659994,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2009,424640930.528182,16010429.0,,,,,,26522.770284805112,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2010,449858101.0,,,30.2400978262656,3.84955384186209,,19.1687969248714,,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2011,473388634.856083,16112678.0,,29.5223002745988,4.16191521367905,,18.6606026870163,29379.885507305673,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2012,491680466.513012,16231365.0,,28.7646556366394,4.33453153131818,9.456998841440631,18.6867020051187,30291.997408290183,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2013,499794011.281884,16369179.0,,27.6810791431216,4.63384123487092,10.067701012982996,19.2364317124553,30532.625446999144,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2014,495040177.171561,16461173.0,,26.9100531238924,4.76857124135427,10.746500264592322,19.7399578210228,30073.20178042968,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2015,452032276.123011,16550024.0,,23.8224202347054,4.36421418394252,11.190316098635265,19.475623717748,27313.0888585425,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2016,406260347.043672,16635996.0,,22.9176601620818,4.39866960416783,11.853813862422184,19.5643119650146,24420.560514902267,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2017,410967755.276631,16718956.0,,22.8355256669539,4.58914625028798,11.765088681374603,20.0281911260997,24580.94603973065,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2018,444390834.285535,17159960.0,,22.1095115217829,4.6086937265588,11.602591148231115,20.1066902253851,25896.962130770407,8.01,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2019,438217409.406562,17264943.0,19.864293788864522,21.4008815435996,4.67889371736317,12.545653930047726,20.2273087917715,25381.92042722423,7.63,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2020,397802497.185184,17366189.0,,20.2572270365901,5.62721811523146,12.979243747721506,19.599339459759,22906.723932647743,4.82,3.2560593681917216,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,25530.0,,434648.0,,2517.517723632218,,147.8719043555487,
RJ,33,RIO DE JANEIRO,2021,443129821.520038,17463349.0,,20.4005352390694,6.44187244191631,13.473933321724257,20.6314474197742,25374.847717928445,4.79,4.877263751166183,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,69467.0,,1352824.0,,7835.6702365017945,,402.3586987805288
RN,24,RIO GRANDE DO NORTE,2000,23093896.1535391,2684712.0,,,,,,8602.001314680718,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
RN,24,RIO GRANDE DO NORTE,2001,23539171.5895671,2815244.0,,,,,,8361.32555102403,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
RN,24,RIO GRANDE DO NORTE,2002,25773476.8419505,2852784.0,,,,,,9034.499927772486,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
RN,24,RIO GRANDE DO NORTE,2003,24752656.7237413,2888058.0,,,,,,8570.692390437207,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
RN,24,RIO GRANDE DO NORTE,2004,26660476.3646423,2962107.0,,,,,,9000.510908161757,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
RN,24,RIO GRANDE DO NORTE,2005,28720959.4692869,3003087.0,,,,,,9563.811993887257,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
RN,24,RIO GRANDE DO NORTE,2006,30836808.7582513,3043760.0,,,,,,10131.156450656852,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
RN,24,RIO GRANDE DO NORTE,2007,33310219.7302645,,,,,,,,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
RN,24,RIO GRANDE DO NORTE,2008,33624650.2554638,3106436.0,,,,,,10824.188959780213,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
RN,24,RIO GRANDE DO NORTE,2009,33547323.6631388,3137541.0,,,,,,10692.234352678992,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
RN,24,RIO GRANDE DO NORTE,2010,36184502.0,,,23.4878393286623,1.76469371799901,,10.3211819728705,,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
RN,24,RIO GRANDE DO NORTE,2011,37844772.6842572,3198657.0,,23.0384507417534,1.75841340826523,,10.2328299324095,11831.45697843101,,,2020-03-13,44.44,11,0,45,14,18,16,21,17,23,55.27210382513661,36.42761643835616,1131027,652562,159742,0.3357956004406866,,,,,,,,
